QUE_FALTA,id_sesion,tipo,hora_inicio,hora_fin,salon,titulo,ponente,id_ponente,organizacion,track,notas
OK,0730-recepcion,plenaria,07:30,08:30,,Registro,,,,Plenaria,
OK,0830-apertura,plenaria,08:30,09:00,,Presentación: Community Day y Comunidad AWS,,,,Plenaria,
OK,0900-keynote,plenaria,09:00,09:40,,Keynote,Magali Pinto,,"Solutions Architect, AWS",Plenaria,
OK,0950-auditorio-principal,charla,09:50,10:40,Auditorio Principal,Transformando el talento con AWS e IA: del temor a la ventaja,Ángel Castillo,angel-castillo,Universidad Rafael Landívar,Carrera & Comunidad,Cupo limitado a 100 personas
FALTA: organización,0950-ignacio-loyola,charla,09:50,10:40,Ignacio Loyola,Strands Agents + Amazon Bedrock AgentCore: el dúo dinámico para construir tu sistema agéntico,Manuela Ballén,manuela-andrea-ballen-galeano,,IA & Agentes,
FALTA: organización,0950-francisco-borja,charla,09:50,10:40,Francisco Borja,The Event Happened Twice,Mauricio Alvarado,mauricio-alvarado,,Arquitectura & Serverless,
OK,0950-salon-1-salon-2,charla,09:50,10:40,Salón 1 + Salón 2,Construyendo agentes con MCP sobre AWS,Víctor Pinzón,victor-pinzon,Justo MX,IA & Agentes,
OK,0950-casa-de-kiro,charla,09:50,11:35,Casa de Kiro,Workshop práctico,Jacobo De León,jacobo-de-leon,Escala24x7 inc,IA & Agentes,Tema pendiente de definir
OK,1045-auditorio-principal,charla,10:45,11:35,Auditorio Principal,¿Y si pudieras preguntarle a millones de datos y obtener la respuesta en segundos?,Carlos Zambrano,carlos-andres-zambrano-barrera,Globant LLC,Datos & Analítica,
OK,1045-ignacio-loyola,charla,10:45,11:35,Ignacio Loyola,Construye tu primer Agente de IA usando herramientas Open Source,Ramsés Mata,ramses-mata,Amazon Web Services,IA & Agentes,
"FALTA: título, ponente, track",1045-francisco-borja,charla,10:45,11:35,Francisco Borja,,,,Banco Industrial,,
FALTA: organización,1045-pedro-javier-1,charla,10:45,11:35,Pedro Javier 1,"Tu primer pipeline de eventos en AWS: Lambda, SNS, SQS y Step Functions en la práctica",Pablo Medrano,pablo-medrano,,Arquitectura & Serverless,
OK,1045-salon-1,charla,10:45,11:35,Salón 1,Cómo la IA está cambiando el trabajo del analista (y por qué no da miedo),Luciano Tom,luciano-tom,CCDatos,Carrera & Comunidad,
FALTA: organización,1045-salon-2,charla,10:45,11:35,Salón 2,Seguridad Comprobable Tests que tu Aplicación Web en AWS Debe Pasar Antes de Producción,Byron Laínez,byron-antonio-lainez-sasvin,,Seguridad,
"FALTA: título, ponente, track",1140-auditorio-principal,charla,11:40,12:30,Auditorio Principal,,,,Banco Industrial,,
OK,1140-ignacio-loyola,charla,11:40,12:30,Ignacio Loyola,Tu certificación no habla por ti: cómo demostrar lo que sabes en tech,Lucas Vera,lucas-vera-toro,sls.guru,Carrera & Comunidad,
FALTA: organización,1140-francisco-borja,charla,11:40,12:30,Francisco Borja,De pipelines a agentes: Data Engineering autónomo con Claude Code en AWS,Joseph Arriola,joseph-arriola,,IA & Agentes,
FALTA: organización,1140-pedro-javier-1,charla,11:40,12:30,Pedro Javier 1,De VMware a EC2 en tiempo récord: La ruta rápida con AWS Transform,Blanca Navarro,blanca-navarro,,DevOps & Operaciones,
FALTA: organización,1140-salon-2,charla,11:40,12:30,Salón 2,"Reu-X: Resumen automático de reuniones a partir de audio, video y texto utilizando AWS",Erick Pineda,erick-j-pineda-amezquita,,IA & Agentes,
"FALTA: vincular ponente (queda sin foto ni bandera), organización",1140-casa-de-kiro,charla,11:40,16:50,Casa de Kiro,Actividad con Bárbara Gaspar,Bárbara Gaspar,,,IA & Agentes,Título de la sesión no especificado en la fuente original
"FALTA: vincular ponente (queda sin foto ni bandera), organización",1235-auditorio-principal,charla,12:35,13:25,Auditorio Principal,Foro de Mujeres,Panel (3 panelistas),,,Carrera & Comunidad,
OK,1235-ignacio-loyola,charla,12:35,13:25,Ignacio Loyola,"El ABC de la IA Generativa en AWS: Amazon Bedrock, Amazon Quick y Kiro",Claudia Izquierdo,claudia-izquierdo,AWS,IA & Agentes,
FALTA: organización,1235-francisco-borja,charla,12:35,13:25,Francisco Borja,Serverless sin miedo: arquitectura event-driven para tu primer proyecto real,Fernanda Osorio,fernanda-osorio-morales,,Arquitectura & Serverless,
OK,1235-pedro-javier-1,charla,12:35,13:25,Pedro Javier 1,"Creando mi Arquitectura de Big Data Batch y Realtime con Glue, Lambda y Terraform",Tony Trujillo,tony-trujillo-davila,IDATHA,Datos & Analítica,
OK,1325-almuerzo,plenaria,13:25,14:10,,Almuerzo,,,,Plenaria,
OK,1410-auditorio-principal,charla,14:10,15:00,Auditorio Principal,Más allá del Disaster Recovery tradicional,Roger Girón,roger-giron,GBM,DevOps & Operaciones,
OK,1410-ignacio-loyola,charla,14:10,15:00,Ignacio Loyola,Cómo conseguir oportunidades internacionales en Big Data e IA,Mario Gómez,mario-estuardo-gomez-orellana,Factored.ai,Carrera & Comunidad,
FALTA: organización,1410-francisco-borja,charla,14:10,15:00,Francisco Borja,Bases de Datos Vectoriales en AWS: La clave para la IA Generativa,Mario García,mario-garcia,,Datos & Analítica,
"FALTA: título, ponente, track",1410-pedro-javier-1,charla,14:10,15:00,Pedro Javier 1,,,,Banco Industrial,,
FALTA: organización,1410-salon-1,charla,14:10,15:00,Salón 1,Cinco incidentes de AWS que no se resolvieron reiniciando,Alexis Velásquez,alexis-velasquez-quintero,,DevOps & Operaciones,
OK,1410-salon-2,charla,14:10,15:00,Salón 2,Modernización de aplicaciones REST con Amazon Bedrock AgentCore Gateway y Strands Agents,Marlon Coti,marlon-coti,Proticket.io | CSN,IA & Agentes,
OK,1505-auditorio-principal,charla,15:05,15:55,Auditorio Principal,Primeros pasos con Amazon Bedrock: inicio en la IA Generativa,Odilia Marisol Choc Cac,odilia-marisol-choc-cac,Escala 24x7,IA & Agentes,Cupo limitado a 100 personas
OK,1505-ignacio-loyola,charla,15:05,15:55,Ignacio Loyola,Códigos de Éxito: Human.exe,Mar García,mar-garcia-anticona,HOPE CONSULTING GROUP,Carrera & Comunidad,
OK,1505-francisco-borja,charla,15:05,15:55,Francisco Borja,Despliegue 101: experimentando con pipeline básicos y servicios AWS,Andrea Rosero,andrea-alejandra-rosero-perez,Student,DevOps & Operaciones,
FALTA: organización,1505-pedro-javier-1,charla,15:05,15:55,Pedro Javier 1,"Prompt Injection, Tool Poisoning y MCP Rug Pulls",Alex Archibold,alex-archibold,,Seguridad,
